Nama Produk,Lemak Total (g),Lemak Jenuh (g),Gula (g),Natrium (g),Sajian per Kemasan,Takaran Saji,Kategori,Gula (g) per 100 ml,Lemak Total (g) per 100 ml,Natrium (g) per 100 ml,Gula (g) per 100 ml_scaled,Lemak Total (g) per 100 ml_scaled,Natrium (g) per 100 ml_scaled,Klaster,Klaster_HC,Klaster_DBSCAN
Oatside Mocha,6.0,0.0,14,0.08,1.0,200.0,Minuman Oat,7.000000000000001,3.0,0.04,-0.853292894703906,-0.0242637078933378,-0.4072690111678562,0,1,0
Oatside Caramel Macchiato,6.0,0.0,14,0.08,1.0,200.0,Minuman Oat,7.000000000000001,3.0,0.04,-0.853292894703906,-0.0242637078933378,-0.4072690111678562,0,1,0
Oatside Coffee,7.0,0.5,12,0.09,1.0,200.0,Minuman Oat,6.0,3.5000000000000004,0.045,-0.8845557708856839,0.0799187402919592,-0.3799345705549531,0,1,0
Luwak White Koffie Original,1.5,1.5,12,0.015,1.0,20.0,Minuman Serbuk Kopi,60.0,7.5,0.075,0.8036395429303289,0.9133783257743348,-0.2159279268775347,1,0,1
Kopi Kenangan Kopi Susu Alpukat,3.0,3.0,20,0.16,1.0,220.0,Minuman Kopi,9.090909090909092,1.3636363636363635,0.0727272727272727,-0.787925062687461,-0.3652244474088551,-0.2283526726106724,0,1,0
Kopi Kenangan Cappucino Mantancino,3.5,3.5,20,0.18,1.0,220.0,Minuman Kopi,9.090909090909092,1.5909090909090908,0.0818181818181818,-0.787925062687461,-0.317868789142811,-0.1786536896781215,0,1,0
Kopi Kenangan Original Black Coffee,0.0,0.0,13,0.06,1.0,220.0,Minuman Kopi,5.909090909090909,0.0,0.0272727272727272,-0.8873978505385729,-0.6493583970051195,-0.4768475872734276,0,1,0
Green Sands Original Lime & Apple,0.0,0.0,19,0.03,1.0,250.0,Minuman Berkarbonasi,7.6,0.0,0.0119999999999999,-0.8345351689948391,-0.6493583970051195,-0.5603418786001133,0,1,0
Bintang 00,0.0,0.0,14,0.025,1.5,250.0,Minuman Malt,5.6000000000000005,0.0,0.01,-0.8970609213583951,-0.6493583970051195,-0.5712756548452745,0,1,0
Nescafe Latte,3.0,3.5,16,0.115,1.0,220.0,Minuman Kopi Susu,7.272727272727272,1.3636363636363635,0.0522727272727272,-0.8447666557452392,-0.3652244474088551,-0.3401753842089122,0,1,0
Nescafe Caramel Macchiato,3.0,3.0,16,0.115,1.0,220.0,Minuman Kopi Susu,7.272727272727272,1.3636363636363635,0.0522727272727272,-0.8447666557452392,-0.3652244474088551,-0.3401753842089122,0,1,0
Nescafe Cappuccino,4.0,3.5,14,0.13,1.0,220.0,Minuman Kopi Susu,6.363636363636363,1.818181818181818,0.0590909090909091,-0.8731874522741283,-0.270513130876767,-0.302901147009499,0,1,0
Thai Milk Green Tea,5.0,5.0,14,0.14,1.0,250.0,Minuman Teh HIjau Susu,5.6000000000000005,2.0,0.056,-0.8970609213583951,-0.2326286042639317,-0.3197988012065663,0,1,0
Tropicana Slim Sweetener Classic,0.0,0.0,0,0.0,25.0,2.5,Sediaan Pemanis,0.0,0.0,0.0,-1.072133027976352,-0.6493583970051195,-0.6259445360710806,0,1,0
SariWangi SariMurni,0.0,0.0,0,0.0,1.8,20.0,Teh Celup,0.0,0.0,0.0,-1.072133027976352,-0.6493583970051195,-0.6259445360710806,0,1,0
Nutrisari Lemon Tea,0.0,0.0,9,0.025,1.0,11.0,Minuman Serbuk Teh,81.81818181818183,0.0,0.2272727272727273,1.4857386596236677,-0.6493583970051195,0.6165300372426948,2,0,2
Nutrisari Lychee Tea,0.0,0.0,9,0.03,1.0,11.0,Minuman Serbuk Teh,81.81818181818183,0.0,0.2727272727272727,1.4857386596236677,-0.6493583970051195,0.8650249519054497,2,0,2
Max Tea Lemon Tea,0.0,0.0,24,0.0,1.0,25.0,Minuman Serbuk Teh,96.0,0.0,0.0,1.9291030854743372,-0.6493583970051195,-0.6259445360710806,2,0,2
Max Tea Tarik Jahe,3.0,3.0,15,0.015,1.0,25.0,Minuman Serbuk Teh,60.0,12.0,0.06,0.8036395429303289,1.8510203594420076,-0.2979312487162439,1,0,1
Max Tea Tarik,3.0,3.0,13,0.01,5.0,25.0,Minuman Serbuk Teh,52.0,12.0,0.04,0.5535365334761048,1.8510203594420076,-0.4072690111678562,1,0,1
Hilo Calcium Teh Tarik,1.5,1.5,9,0.06,1.0,15.0,Minuman Serbuk Rasa,60.0,10.0,0.4,0.8036395429303289,1.4342905667008194,1.560810712961164,1,2,-1
Teh Poci Teh Tarik Gula Aren,3.0,3.0,17,0.16,1.0,25.0,Minuman Serbuk Rasa,68.0,12.0,0.64,1.053742552384553,1.8510203594420076,2.8728638623805103,3,2,-1
Teh Poci Pandan Vanilla,0.0,0.0,19,0.0,1.0,24.0,Minuman Serbuk Rasa,79.16666666666666,0.0,0.0,1.4028446697477406,-0.6493583970051195,-0.6259445360710806,2,0,2
Nutrisari Cocopandan,0.0,0.0,9,0.06,1.0,11.0,Minuman Serbuk Rasa,81.81818181818183,0.0,0.5454545454545454,1.4857386596236677,-0.6493583970051195,2.35599443988198,3,2,-1
Nutrisari Jeruk Maroko,0.0,0.0,10,0.015,1.0,11.0,Minuman Serbuk Rasa,90.9090909090909,0.0,0.1363636363636363,1.7699466249125584,-0.6493583970051195,0.1195402079171845,2,0,2
Nutrisari Anggur Hijau,0.0,0.0,10,0.035,1.0,11.0,Minuman Serbuk Rasa,90.9090909090909,0.0,0.3181818181818182,1.7699466249125584,-0.6493583970051195,1.113519866568205,2,0,2
Nutrisari Es Cincau,0.0,0.0,10,0.015,1.0,11.0,Minuman Serbuk Rasa,90.9090909090909,0.0,0.1363636363636363,1.7699466249125584,-0.6493583970051195,0.1195402079171845,2,0,2
Nutrisari Milky Orange,0.0,0.0,8,0.06,1.0,11.0,Minuman Serbuk Rasa,72.72727272727273,0.0,0.5454545454545454,1.2015306943347766,-0.6493583970051195,2.35599443988198,3,2,-1
Nutrisari Blewah,0.0,0.0,9,0.005,1.0,11.0,Minuman Serbuk Rasa,81.81818181818183,0.0,0.0454545454545454,1.4857386596236677,-0.6493583970051195,-0.3774496214083255,2,0,2
Nutrisari Semangka,0.0,0.0,10,0.005,1.0,11.0,Minuman Serbuk Rasa,90.9090909090909,0.0,0.0454545454545454,1.7699466249125584,-0.6493583970051195,-0.3774496214083255,2,0,2
Nutrisari Isotonik,0.0,0.0,10,0.07,1.0,11.0,Minuman Serbuk Rasa,90.9090909090909,0.0,0.6363636363636364,1.7699466249125584,-0.6493583970051195,2.85298426920749,3,2,-1
Nutrisari Gula Asem,0.0,0.0,9,0.115,1.0,11.0,Minuman Serbuk Rasa,81.81818181818183,0.0,1.0454545454545454,1.4857386596236677,-0.6493583970051195,5.089438501172285,3,2,-1
Nutrisari Sweet Guava,0.0,0.0,9,0.01,1.0,11.0,Minuman Serbuk Rasa,81.81818181818183,0.0,0.0909090909090909,1.4857386596236677,-0.6493583970051195,-0.1289547067455704,2,0,2
