Nama Produk,Lemak Total (g),Lemak Jenuh (g),Gula (g),Natrium (g),Sajian per Kemasan,Takaran Saji,Kategori,Gula (g) per 100 ml,Lemak Total (g) per 100 ml,Natrium (g) per 100 ml
Nutrisari Milky Orange,0.0,0.0,8,0.06,1.0,11.0,Minuman Serbuk Rasa,72.72727272727273,0.0,0.5454545454545454
Nutrisari Blewah,0.0,0.0,9,0.005,1.0,11.0,Minuman Serbuk Rasa,81.81818181818183,0.0,0.045454545454545456
Nutrisari Semangka,0.0,0.0,10,0.005,1.0,11.0,Minuman Serbuk Rasa,90.9090909090909,0.0,0.045454545454545456
Nutrisari Isotonik,0.0,0.0,10,0.07,1.0,11.0,Minuman Serbuk Rasa,90.9090909090909,0.0,0.6363636363636364
Nutrisari Gula Asem,0.0,0.0,9,0.115,1.0,11.0,Minuman Serbuk Rasa,81.81818181818183,0.0,1.0454545454545454
Nutrisari Sweet Guava,0.0,0.0,9,0.01,1.0,11.0,Minuman Serbuk Rasa,81.81818181818183,0.0,0.09090909090909091
Nutrisari Belimbing,0.0,0.0,4,0.03,1.0,6.0,Minuman Serbuk Rasa,66.66666666666666,0.0,0.5
Adem Sari Madu Lemon Tea,0.0,0.0,15,0.035,2.0,175.0,Minuman Berperisa,8.571428571428571,0.0,0.02
Adem Sari Sparkling,0.0,0.0,23,0.095,1.5,250.0,Minuman Berkarbonasi,9.2,0.0,0.038
Cap Panda Cincau Selasih,0.0,0.0,25,0.025,1.0,310.0,MInuman Cincau,8.064516129032258,0.0,0.008064516129032258
Cap Panda Cincau,0.0,0.0,23,0.055,1.0,310.0,MInuman Cincau,7.419354838709677,0.0,0.017741935483870968
Tora Cafe Iced Cappuccino,3.5,3.0,14,0.15,1.0,180.0,Minuman Kopi,7.777777777777778,1.9444444444444444,0.08333333333333333
Tora Cafe Iced Milky Latte,3.5,3.5,9,0.29,1.0,180.0,Minuman Kopi,5.0,1.9444444444444444,0.1611111111111111
Golda Coffee Dolce Latte,2.5,2.0,15,0.105,1.0,200.0,Minuman Kopi,7.5,1.25,0.0525
ABC Kopi Susu,2.5,2.5,17,0.105,1.0,200.0,Minuman Kopi,8.5,1.25,0.0525
Kopiko Coffee Latte,2.5,2.0,20,0.11,1.0,240.0,Minuman Kopi,8.333333333333332,1.0416666666666665,0.04583333333333333
