Nama Produk,Lemak Total (g),Lemak Jenuh (g),Gula (g),Natrium (g),Sajian per Kemasan,Takaran Saji,Kategori,Gula (g) per 100 ml,Lemak Total (g) per 100 ml,Natrium (g) per 100 ml,Gula (g) per 100 ml_scaled,Lemak Total (g) per 100 ml_scaled,Natrium (g) per 100 ml_scaled
Oronamin C Drink,0.0,0.0,19,0.0,1.0,120.0,Suplemen Makanan,15.833333333333332,0.0,0.0,-0.5771374884315336,-0.6493583970051195,-0.6259445360710806
Fibe Mini Rich in Fiber,0.0,0.0,9,0.02,1.0,100.0,Minuman Berperisa,9.0,0.0,0.02,-0.79076714234035,-0.6493583970051195,-0.5166067736194684
Benecol Lychee,2.0,0.0,6,0.055,1.0,100.0,Minuman Rasa,6.0,2.0,0.055,-0.8845557708856839,-0.2326286042639317,-0.32526568932914696
Hydro Coco Vita-D,0.0,0.0,9,0.15,1.0,330.0,Minuman Air Kelapa,2.727272727272727,0.0,0.045454545454545456,-0.9868706383896848,-0.6493583970051195,-0.37744962140832555
Hydro Coco Original,0.0,0.0,7,0.105,2.0,250.0,Minuman Air Kelapa,2.8000000000000003,0.0,0.041999999999999996,-0.9845969746673736,-0.6493583970051195,-0.39633523492269496
Pocari Sweat Low Calorie,0.0,0.0,9,0.13,2.0,250.0,Minuman Isotonik,3.5999999999999996,0.0,0.052000000000000005,-0.9595866737219512,-0.6493583970051195,-0.3416663536968888
Isoplus Coco,0.0,0.0,12,0.085,2.0,175.0,Minuman Isotonik,6.857142857142858,0.0,0.04857142857142858,-0.8577590198727314,-0.6493583970051195,-0.36040997011716513
MIZONE Lychee Lemon,0.0,0.0,8,0.065,2.0,250.0,Minuman Isotonik,3.2,0.0,0.026000000000000002,-0.9720918241946624,-0.6493583970051195,-0.48380544488398464
MIZONE Cranberry,0.0,0.0,8,0.065,2.0,250.0,Minuman Isotonik,3.2,0.0,0.026000000000000002,-0.9720918241946624,-0.6493583970051195,-0.48380544488398464
Sunkist Lemon Water C,0.0,0.0,15,0.05,1.0,330.0,Minuman Rasa,4.545454545454546,0.0,0.015151515151515152,-0.9300290453319066,-0.6493583970051195,-0.5431128978501623
